id,school,school_name,park,park_name,hospital,hospital_name,veterinary,veterinary_name,convenience_store,convenience_store_name,shopping_mall,shopping_mall_name,market,market_name,supermarket,supermarket_name,community_mall,community_mall_name,bts_station,bts_station_name,mrt,mrt_name,train_station,train_station_name,bus_station,bus_station_name,beach,beach_name,temple,temple_name,museum,museum_name,tourist_attraction,tourist_attraction_name,viewpoint,viewpoint_name,river,river_name,golf_course,golf_course_name,restaurant,restaurant_name,cafe,cafe_name,gym,gym_name,sports_club,sports_club_name,spa,spa_name,hotel,hotel_name,university,university_name
8,1441,โรงเรียนสามเสนวิทยาลัย,3393,อุทยานผีเสื้อและแมลง กรุงเทพฯ,3932,โรงพยาบาลบางโพ,3264,คลินิกหมอกมลรักษาสัตว์,1613,7-Eleven สาขา อินทรามระ 4 (00207),3165,เจเจมอลล์ จตุจักร ติดแอร์,7503,กรุงเทพมหานคร,2679,ร้านโครงการหลวง สาขา ตลาด อ.ต.ก.,3165,เจเจมอลล์ จตุจักร ติดแอร์,2621,บางซื่อ,2621,บางซื่อ,2311,Sam Sen,1479,สน.บางซื่อ,2488,BAANNUENG @ AREE 5,7503,กรุงเทพมหานคร,3393,อุทยานผีเสื้อและแมลง กรุงเทพฯ,3393,อุทยานผีเสื้อและแมลง กรุงเทพฯ,2488,BAANNUENG @ AREE 5,,,7503,กรุงเทพมหานคร,3326,หอยทอดสวัสดีราชวัตร,264,โอไรออน คอฟฟี่,5304,สนามกีฬากองทัพบก,7503,กรุงเทพมหานคร,1821,บ้านตำนานไทย ทิชา,7503,กรุงเทพมหานคร,8067,อาคาร มิว
9,1411,โรงเรียนมะเซาะฮะตุดดีน 2,2220,Wonder Art,5246,โรงพยาบาลเกษมราษฎร์ รามคำแหง,2913,คลินิกเอื้อตะวันรักษ์สัตว์,3337,Kudsan Bakery & Coffee,1160,บริษัท ซันเด้น เคมีคอล จำกัด,33721,กรุงเทพมหานคร,3909,CP Freshmart ธรากร,1160,บริษัท ซันเด้น เคมีคอล จำกัด,,,,,,,,,3248,Siam Piman Hotel,33721,กรุงเทพมหานคร,3588,ศาลพรานบุญ แม่ทาสี ชัยยะมงคล,2561,ตลาดน้ำขวัญเรียม,3248,Siam Piman Hotel,5458,ทะเลสาป สัมมากร 1,33721,กรุงเทพมหานคร,3904,ร้าน เดลิเซีย พิซซ่า แอนด์ พาสต้า,3337,Kudsan Bakery & Coffee,6326,Master Club,33721,กรุงเทพมหานคร,5646,มัทรี นวดเพื่อสุขภาพ สาขา รามคำแหง,33721,กรุงเทพมหานคร,4613,Netmight
12,2708,โรงเรียนวัดมาบข่า(มาบข่าวิทยาคาร),2275,สวนทุเรียนและฟาร์มปลา,1910,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกระเฉท (Bankhacheat Health Promoting Hospital),2496,VetVan Clinic Map Kha (2) เวทแวนคลีนิค มาบข่า,3333,7-Eleven สาขา หนองผักหนาม (นิคมพัฒนา) (11828),4237,บริษัท เวิลด์ อิเล็คทริค ซัพพลายส์ จำกัด,3803,ตำบล มาบข่า,2231,RB MINI Mart & Restaurant,4237,บริษัท เวิลด์ อิเล็คทริค ซัพพลายส์ จำกัด,,,,,,,,,2608,สำนักงานป้องกันและบรรเทาสาธารณภัยเทศบาลตำบลมาบข่าพัฒนา,3803,ตำบล มาบข่า,,,,,2608,สำนักงานป้องกันและบรรเทาสาธารณภัยเทศบาลตำบลมาบข่าพัฒนา,3920,Khao Khleng,3803,ตำบล มาบข่า,3743,รีแล็ก ก๋วยเตี๋ยว10 บาท มาบข่าระยอง กาแฟสด Relax Coffee,4550,ลูกหว้ากาแฟ สาขาปั๊มเชลล์มาบข่า,2815,ซ.ซุ้มต้นมะม่วง,3803,ตำบล มาบข่า,3454,KAYA Massage & Spa,3803,ตำบล มาบข่า,,
14,4213,โรงเรียนมาแตร์เดอีวิทยาลัย,439,สวนสันติภาพ,1750,โรงพยาบาลพญาไท 1,2730,โรงพยาบาลสัตว์สหมิตร,2156,7-Eleven สาขา ซ.ประชาสงเคราะห์ 4/1 (00047),3610,โรงแรมปทุมวันปริ๊นเซส,6410,กรุงเทพมหานคร,3325,โลตัส ฟอร์จูน,3610,โรงแรมปทุมวันปริ๊นเซส,4190,ชิดลม,4190,ชิดลม,1790,พญาไท,1084,เซ็นจูรี่,3716,โรงแรมใบหยกสวีท,6410,กรุงเทพมหานคร,3000,พิพิธภัณฑ์มาดามทุสโซ กรุงเทพ,3610,โรงแรมปทุมวันปริ๊นเซส,3716,โรงแรมใบหยกสวีท,3225,gift wonderland,6410,กรุงเทพมหานคร,3610,โรงแรมปทุมวันปริ๊นเซส,1733,โรงแรม เดอะ สุโกศล กรุงเทพ,3090,สนามกีฬากองทัพบก,6410,กรุงเทพมหานคร,3996,โรงแรมเซ็นทาราแกรนด์ บางกอก คอนเวนชัน เซ็นเตอร์ แอท เซ็นทรัลเวิลด์,6410,กรุงเทพมหานคร,1336,อาคาร มิว
15,4296,โรงเรียนเซนต์จอห์น,6039,สวนจตุจักร,2990,วีรดา คลินิก,3939,หมอหญิงลาดพร้าวสัตวแพทย์,4022,7-Eleven สาขา ลาดพร้าว 80 (รุ่งเรีอง) (07312),703,บริษัท สหพรพรหม จำกัด,14961,กรุงเทพมหานคร,3085,แม๊กซ์แวลู วังหิน พลาซ่าลากูน,703,บริษัท สหพรพรหม จำกัด,3953,สถานีรัชดาภิเษก,3953,สถานีรัชดาภิเษก,6794,สถานีรถไฟฟ้าใต้ดินสุทธิสาร,5351,การบินไทย,3409,เอสพีบีพาราไดซ์,14961,กรุงเทพมหานคร,5867,อุทยานผีเสื้อและแมลง กรุงเทพฯ,5867,อุทยานผีเสื้อและแมลง กรุงเทพฯ,3409,เอสพีบีพาราไดซ์,,,14961,กรุงเทพมหานคร,5984,โรงแรมเซ็นทารา แกรนด์ แอท เซ็นทรัลพลาซ่า ลาดพร้าว กรุงเทพ,2979,Yes! we are coffee maker.,5194,LED Writing Board กระดานเรืองแสง ป้ายเรืองแสง LED กระดานไฟ ป้ายไฟ,14961,กรุงเทพมหานคร,5984,โรงแรมเซ็นทารา แกรนด์ แอท เซ็นทรัลพลาซ่า ลาดพร้าว กรุงเทพ,14961,กรุงเทพมหานคร,6772,มหาวิทยาลัยราชภัฏจันทรเกษม
16,3020,โรงเรียนสตรีวิทยา,3032,สนามหลวง,1315,โรงพยาบาลหัวเฉียว,2292,คลินิกสัตว์ด็อกเตอร์จุฬา (Dr. Chula's Animal Clinic),3995,ท็อปส์ เซ็นทรัล บางรัก,3860,โรงแรมปทุมวันปริ๊นเซส,2368,กรุงเทพมหานคร,3995,ท็อปส์ เซ็นทรัล บางรัก,3860,โรงแรมปทุมวันปริ๊นเซส,1696,หัวลำโพง,1696,หัวลำโพง,1434,การรถไฟแห่งประเทศไทย,849,ป้ายรถประจำทาง ห้างเมอร์รีคิงเจริญกรุง,926,โรงแรมไชน่าทาวน์,2368,กรุงเทพมหานคร,3817,อาคารถาวรวัตถุ (ตึกแดง),3860,โรงแรมปทุมวันปริ๊นเซส,926,โรงแรมไชน่าทาวน์,1711,เกาะรัตนโกสินทร์,2368,กรุงเทพมหานคร,3860,โรงแรมปทุมวันปริ๊นเซส,6516,โรงแรมบ้านวังหลัง ริเวอร์ไซด์,4460,The Aiyapura Bangkok,2368,กรุงเทพมหานคร,3622,โรงแรมแมนดาริน โอเรียนเต็ล กรุงเทพ,2368,กรุงเทพมหานคร,2639,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร วิทยาเขตชุมพรเขตอุดมศักดิ์
17,952,โรงเรียนมัธยมวัดบึงทองหลาง,3192,บิ๊กด๊อกคาเฟ่ คาเฟ่หมาใหญ่ใจดี,3620,Vejthani International Hospital,2209,โรงพยาบาลสัตว์ฮันนี่,4475,7-Eleven สาขา ลาดพร้าว 80 จุด 2 (01430),2540,คริสตัล ดีไซน์ เซ็นเตอร์ (ซีดีซี),19625,กรุงเทพมหานคร,1575,มินิบิ๊กซี ซอยโพธิ์แก้ว,2540,คริสตัล ดีไซน์ เซ็นเตอร์ (ซีดีซี),,,,,,,3162,หมู่บ้านแกรนด์วิลเลจ,3953,Oun Hotel Bangkok อุ่น โฮเทล,19625,กรุงเทพมหานคร,340,แกลลอรี่100 ล้าน เก้า อาร์ต สยาม,3339,บริษัท ลีฟวิ่ง อีซี่ จำกัด,3953,Oun Hotel Bangkok อุ่น โฮเทล,,,19625,กรุงเทพมหานคร,1950,ข้าวแกงปักษ์ใต้,2177,บริษัท เพอร์เฟกต์ เดสทินี่ อินเตอร์เนชั่นแนล จำกัด,1616,Let's Dance Studio Ladphrao 87,19625,กรุงเทพมหานคร,2606,Dejavu Sauna,19625,กรุงเทพมหานคร,3830,บริษัท ทีวีบูรพา จำกัด
18,4514,โรงเรียนปัญญาวรคุณ,1313,บ้านแมน,2842,โรงพยาบาลเกษมราษฎร์ บางแค,650,โรงพยาบาลสัตว์ อนุรักษ์เมตตาสัตว์,1166,7-Eleven สาขา LPN เพชรเกษม 98 (10761),1354,บิ๊กซี ซูเปอร์เซ็นเตอร์ เพชรเกษม 1,23614,กรุงเทพมหานคร,1354,บิ๊กซี ซูเปอร์เซ็นเตอร์ เพชรเกษม 1,1354,บิ๊กซี ซูเปอร์เซ็นเตอร์ เพชรเกษม 1,3998,Lak Song,3998,Lak Song,,,,,1742,ธนาคารไทยพาณิชย์ สาขาบิ๊กซีเพชรเกษม,23614,กรุงเทพมหานคร,1301,พระภูมิ,2683,ท่าสุขสันต์,1742,ธนาคารไทยพาณิชย์ สาขาบิ๊กซีเพชรเกษม,,,23614,กรุงเทพมหานคร,1006,นายชิมโจ๊กฮ่องกงสูตรข้าวกล้อง,2749,ไมโลดิบ A&T บางแค,3143,สถาบันโยคะศาสตร์และการพัฒนา,23614,กรุงเทพมหานคร,1706,Garden spa การ์เด้น สปา,23614,กรุงเทพมหานคร,6343,Die bmeisten
19,5171,โรงเรียนสุรศักดิ์มนตรี,4778,สวนสันติภาพ,4876,โรงพยาบาลพญาไท 1,4030,คลินิกหมอกมลรักษาสัตว์,1918,7-Eleven สาขา พหลโยธิน 2 (03788),3625,เซ็นจูรี่ เดอะ มูฟวี่ พลาซ่า,7658,กรุงเทพมหานคร,2482,ท็อปส์ มินิซูเปอร์มาร์เก็ต | สาขาพิบูลวัฒนา 8,3625,เซ็นจูรี่ เดอะ มูฟวี่ พลาซ่า,5361,บางซื่อ,5361,บางซื่อ,2616,Sam Sen,1583,ตรงข้ามซอยราชครู,1685,BAANNUENG @ AREE 5,7658,กรุงเทพมหานคร,3549,พิพิธภัณฑ์เด็กกรุงเทพมหานคร แห่งที่ 1 (จตุจักร),4778,สวนสันติภาพ,1685,BAANNUENG @ AREE 5,,,7658,กรุงเทพมหานคร,4170,โรงแรม เดอะ สุโกศล กรุงเทพ,4170,โรงแรม เดอะ สุโกศล กรุงเทพ,4372,สนามกีฬากองทัพบก,7658,กรุงเทพมหานคร,565,บ้านตำนานไทย ทิชา,7658,กรุงเทพมหานคร,4599,อาคาร มิว
20,3124,โรงเรียนโยธินบูรณะ,5179,อุทยานผีเสื้อและแมลง กรุงเทพฯ,8211,โรงพยาบาลยันฮี,4478,คลินิกหมอกมลรักษาสัตว์,8121,7-Eleven สาขา บางกรวย (00049),4522,เจเจมอลล์ จตุจักร ติดแอร์,10208,กรุงเทพมหานคร,4009,ร้านโครงการหลวง สาขา ตลาด อ.ต.ก.,4522,เจเจมอลล์ จตุจักร ติดแอร์,1525,บางซื่อ,1525,บางซื่อ,7393,สถานีรถไฟชุมทางบางซื่อ,5575,Transport Terminal 2 Arrival,1240,เดอะ สเตท อพาร์ทเมนท์,10208,กรุงเทพมหานคร,5179,อุทยานผีเสื้อและแมลง กรุงเทพฯ,5179,อุทยานผีเสื้อและแมลง กรุงเทพฯ,1240,เดอะ สเตท อพาร์ทเมนท์,,,10208,กรุงเทพมหานคร,3039,ก๋วยเตี๋ยว เนื้อ นายก๊ง เจ้าเก่า,3471,โอไรออน คอฟฟี่,4152,ศูนย์สุขภาพชุมชนอุทัยรัตน์,10208,กรุงเทพมหานคร,4709,39 underground sauna,10208,กรุงเทพมหานคร,5987,สำนักพัฒนาคอมพิวเตอร์ และเทคโนโลยีเพื่ออุตสาหกรรม
21,3124,โรงเรียนโยธินบูรณะ,5179,อุทยานผีเสื้อและแมลง กรุงเทพฯ,8211,โรงพยาบาลยันฮี,4478,คลินิกหมอกมลรักษาสัตว์,8121,7-Eleven สาขา บางกรวย (00049),4522,เจเจมอลล์ จตุจักร ติดแอร์,10208,กรุงเทพมหานคร,4009,ร้านโครงการหลวง สาขา ตลาด อ.ต.ก.,4522,เจเจมอลล์ จตุจักร ติดแอร์,1525,บางซื่อ,1525,บางซื่อ,7393,สถานีรถไฟชุมทางบางซื่อ,5575,Transport Terminal 2 Arrival,1240,เดอะ สเตท อพาร์ทเมนท์,10208,กรุงเทพมหานคร,5179,อุทยานผีเสื้อและแมลง กรุงเทพฯ,5179,อุทยานผีเสื้อและแมลง กรุงเทพฯ,1240,เดอะ สเตท อพาร์ทเมนท์,,,10208,กรุงเทพมหานคร,3039,ก๋วยเตี๋ยว เนื้อ นายก๊ง เจ้าเก่า,3471,โอไรออน คอฟฟี่,4152,ศูนย์สุขภาพชุมชนอุทัยรัตน์,10208,กรุงเทพมหานคร,4709,39 underground sauna,10208,กรุงเทพมหานคร,5987,สำนักพัฒนาคอมพิวเตอร์ และเทคโนโลยีเพื่ออุตสาหกรรม
